id;imagem;codigo;descricao;fornecedor;linha;cor;medida;sistema;valor;observacao;estoque;nescessario;material;peso_kg_m
602;;MG25-88519;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.963
600;;MG25-88520;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1856
595;;MG25-88578;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.707
723;;MG25-88690;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1006
715;;MG25-88710;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.753
724;;MG25-88782;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.279
636;;MG25-88783;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.565
630;;MG25-88784;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.555
634;;MG25-88785;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.500
635;;MG25-88786;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.535
703;;MG25-88787;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.513
637;;MG25-88788;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.599
638;;MG25-88789;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.774
642;;MG25-88790;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.871
590;;MG25-88791;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.561
603;;MG25-88792;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.710
604;;MG25-88793;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.840
704;;MG25-88796;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.847
725;;MG25-88798;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.283
726;;MG25-88799;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.554
727;;MG25-88800;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.456
728;;MG25-88801;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.565
731;;MG32-001;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1230
740;;MG32-002;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.952
754;;MG32-003;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.206
732;;MG32-004;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1123
815;;MG32-005;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.916
816;;MG32-006;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.879
765;;MG32-009;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.750
785;;MG32-010;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.658
788;;MG32-011;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.810
767;;MG32-012;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.173
743;;MG32-013;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1718
745;;MG32-014;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1357
744;;MG32-015;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1524
736;;MG32-016;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.601
737;;MG32-017;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.708
738;;MG32-018;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1999
739;;MG32-019;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1115
764;;MG32-020;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.647
766;;MG32-021;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1161
733;;MG32-023;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1256
753;;MG32-024;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.430
768;;MG32-025;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.155
789;;MG32-026;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.750
770;;MG32-027;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.142
771;;MG32-028;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.141
787;;MG32-029;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.342
808;;MG32-032;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.792
814;;MG32-033;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1356
798;;MG32-034;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;2142
799;;MG32-035;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1085
797;;MG32-041;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1274
925;;MG32-044;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.720
656;;MG32-046;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.430
790;;MG32-047;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.949
741;;MG32-049;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.812
786;;MG32-051;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.549
751;;MG32-052;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.318
817;;MG32-053;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1649
818;;MG32-054;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1666
820;;MG32-055;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1570
